Page_url,Book_Title,Rating, Price ,Image_url,Availability,Quantity
https://books.toscrape.com/catalogue/category/books_1/page-1.html,A Light in the ...,3, $51.77 ,https://books.toscrape.com///media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,In Stock,5
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Tipping the Velvet,1, $53.74 ,https://books.toscrape.com///media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Soumission,1, $50.10 ,https://books.toscrape.com///media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Sharp Objects,4, $47.82 ,https://books.toscrape.com///media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,In Stock,5
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Sapiens: A Brief History �,5, $54.23 ,https://books.toscrape.com///media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,The Requiem Red,1, $22.65 ,https://books.toscrape.com///media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,The Dirty Little Secrets ...,4, $33.34 ,https://books.toscrape.com///media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,In Stock,7
https://books.toscrape.com/catalogue/category/books_1/page-1.html,The Coming Woman: A ...,3, $17.93 ,https://books.toscrape.com///media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,In Stock,10
https://books.toscrape.com/catalogue/category/books_1/page-1.html,The Boys in the ...,4, $22.60 ,https://books.toscrape.com///media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,In Stock,10
https://books.toscrape.com/catalogue/category/books_1/page-1.html,The Black Maria,1, $52.15 ,https://books.toscrape.com///media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Starving Hearts (Triangular Trade ...,2, $13.99 ,https://books.toscrape.com///media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Shakespeare's Sonnets,4, $20.66 ,https://books.toscrape.com///media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,In Stock,10
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Set Me Free,5, $17.46 ,https://books.toscrape.com///media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,In Stock,10
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Scott Pilgrim's Precious Little ...,5, $52.29 ,https://books.toscrape.com///media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,No Stock,0
https://books.toscrape.com/catalogue/category/books_1/page-1.html,Rip it Up and �,5, $35.02 ,https://books.toscrape.com///media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,In Stock,7
